"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";1;2;-;1;-;-;1;1;1;1;-;2;10
"12 Acre";1;1;2;-;-;1;1;-;1;2;-;-;9
"13 Amazonas";9;5;1;8;4;5;8;7;8;6;6;4;71
"14 Roraima";2;-;1;2;1;1;1;-;-;2;-;-;10
"15 Par�";4;5;8;6;11;7;10;18;11;10;11;7;108
"16 Amap�";2;1;3;1;-;1;-;2;1;1;1;1;14
"17 Tocantins";-;1;-;-;3;-;1;2;-;-;1;-;8
"21 Maranh�o";8;5;6;13;9;9;6;12;5;2;6;11;92
"22 Piau�";4;4;4;4;3;6;3;3;3;1;6;1;42
"23 Cear�";7;7;6;7;11;5;6;9;10;3;9;10;90
"24 Rio Grande do Norte";4;-;-;2;3;2;2;1;4;3;-;4;25
"25 Para�ba";1;3;2;7;4;3;4;1;-;3;3;1;32
"26 Pernambuco";4;9;10;7;10;5;7;6;6;4;3;9;80
"27 Alagoas";4;3;2;1;5;1;1;2;1;3;2;1;26
"28 Sergipe";-;3;1;2;1;3;1;4;-;1;2;2;20
"29 Bahia";16;8;13;8;15;13;6;12;6;7;9;5;118
"31 Minas Gerais";12;11;12;8;12;11;15;5;14;10;11;14;135
"32 Esp�rito Santo";3;2;1;2;2;5;1;3;3;3;4;3;32
"33 Rio de Janeiro";11;7;15;16;23;8;10;5;10;9;13;9;136
"35 S�o Paulo";24;19;27;26;25;22;28;25;32;22;18;35;303
"41 Paran�";1;8;5;7;8;5;2;6;4;8;3;3;60
"42 Santa Catarina";2;3;3;3;1;2;7;4;3;3;3;1;35
"43 Rio Grande do Sul";3;9;3;5;5;3;5;6;1;4;5;2;51
"50 Mato Grosso do Sul";5;1;1;1;3;3;2;1;2;2;5;3;29
"51 Mato Grosso";4;3;2;1;5;3;4;1;7;1;2;1;34
"52 Goi�s";3;6;8;6;9;7;-;4;3;8;3;7;64
"53 Distrito Federal";2;-;4;1;1;5;3;1;3;2;1;1;24
"Total";137;126;140;145;174;136;135;141;139;121;127;137;1658
