"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";2;7;10;4;8;7;1;1;-;1;1;-;42
"12 Acre";-;3;3;1;5;1;-;-;1;1;-;-;15
"13 Amazonas";25;26;19;7;3;9;9;5;2;7;4;6;122
"14 Roraima";-;7;4;2;5;4;6;1;4;2;1;-;36
"15 Par�";14;10;16;23;17;15;10;13;16;10;10;12;166
"16 Amap�";1;-;3;1;2;-;2;-;-;2;2;1;14
"17 Tocantins";2;1;5;8;7;6;3;2;1;3;3;2;43
"21 Maranh�o";10;10;18;23;12;9;20;8;10;6;12;8;146
"22 Piau�";4;4;4;9;10;8;6;3;3;3;1;4;59
"23 Cear�";5;7;19;19;19;14;21;5;4;4;6;6;129
"24 Rio Grande do Norte";4;3;9;11;15;13;3;2;1;3;-;1;65
"25 Para�ba";2;3;4;11;14;12;5;6;2;4;7;1;71
"26 Pernambuco";6;7;6;18;13;14;3;6;3;5;6;6;93
"27 Alagoas";6;2;6;10;3;6;5;7;3;5;1;-;54
"28 Sergipe";1;2;1;3;5;6;2;2;1;1;-;2;26
"29 Bahia";8;8;20;32;19;23;29;10;9;9;11;17;195
"31 Minas Gerais";11;11;35;50;36;29;16;9;9;11;6;6;229
"32 Esp�rito Santo";2;4;9;8;8;4;1;2;3;3;3;2;49
"33 Rio de Janeiro";24;23;29;61;51;35;21;18;21;8;18;11;320
"35 S�o Paulo";33;30;69;75;62;61;31;27;17;16;15;21;457
"41 Paran�";8;6;25;17;26;48;19;7;13;9;6;3;187
"42 Santa Catarina";4;6;12;7;9;12;6;10;8;4;7;-;85
"43 Rio Grande do Sul";6;2;20;17;12;14;10;6;6;6;4;10;113
"50 Mato Grosso do Sul";5;4;12;6;6;6;5;4;-;3;1;2;54
"51 Mato Grosso";7;2;9;20;7;18;6;5;2;4;3;1;84
"52 Goi�s";5;9;25;24;15;9;14;14;6;7;4;8;140
"53 Distrito Federal";1;1;3;9;6;4;4;1;2;1;1;3;36
"Total";196;198;395;476;395;387;258;174;147;138;133;133;3030
