"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";1;2;1;2;3;1;1;2;2;-;1;3;19
"12 Acre";-;1;-;1;2;1;-;-;1;1;-;1;8
"13 Amazonas";4;2;4;7;3;2;2;8;4;5;8;1;50
"14 Roraima";-;-;2;1;-;-;1;1;1;-;-;-;6
"15 Par�";7;11;14;6;15;15;10;14;9;9;13;6;129
"16 Amap�";1;2;-;-;1;-;2;1;-;-;-;-;7
"17 Tocantins";4;1;2;1;3;1;3;2;1;1;-;2;21
"21 Maranh�o";2;5;10;16;4;17;6;10;10;8;3;6;97
"22 Piau�";6;2;2;7;4;-;-;1;1;5;4;3;35
"23 Cear�";8;3;10;9;7;8;4;8;9;3;6;9;84
"24 Rio Grande do Norte";1;3;3;3;5;2;2;3;4;2;2;5;35
"25 Para�ba";3;1;7;2;6;1;4;3;3;1;2;3;36
"26 Pernambuco";6;8;9;4;3;7;11;6;8;6;8;8;84
"27 Alagoas";3;-;-;4;-;3;3;-;-;2;-;1;16
"28 Sergipe";1;4;2;2;-;1;-;1;1;2;2;1;17
"29 Bahia";8;13;10;13;11;12;17;9;9;9;12;11;134
"31 Minas Gerais";13;6;16;9;10;11;4;9;7;10;10;13;118
"32 Esp�rito Santo";2;-;3;1;4;3;6;1;-;3;4;6;33
"33 Rio de Janeiro";16;12;27;14;14;14;12;13;12;15;6;16;171
"35 S�o Paulo";26;32;36;34;21;38;40;29;29;21;19;23;348
"41 Paran�";4;3;6;-;9;5;6;2;4;4;4;3;50
"42 Santa Catarina";3;3;4;8;4;1;6;1;3;1;2;2;38
"43 Rio Grande do Sul";8;4;2;3;1;6;3;7;6;6;3;6;55
"50 Mato Grosso do Sul";3;-;3;-;2;2;1;4;1;3;-;2;21
"51 Mato Grosso";1;3;3;2;9;4;3;2;2;1;3;1;34
"52 Goi�s";8;3;6;3;3;7;2;4;3;2;6;4;51
"53 Distrito Federal";2;3;2;3;-;-;2;1;3;3;1;1;21
"Total";141;127;184;155;144;162;151;142;133;123;119;137;1718
