"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";2;2;6;2;2;1;1;1;2;2;1;-;22
"12 Acre";-;1;-;1;1;-;1;-;-;-;-;4;8
"13 Amazonas";8;3;8;3;8;7;9;6;6;5;8;7;78
"14 Roraima";-;1;-;-;-;1;1;-;-;1;-;1;5
"15 Par�";10;11;11;11;13;8;13;2;11;11;4;12;117
"16 Amap�";-;1;-;2;-;1;-;4;-;-;-;-;8
"17 Tocantins";1;1;1;2;1;1;-;2;2;2;2;-;15
"21 Maranh�o";4;7;10;9;11;5;10;5;15;10;1;6;93
"22 Piau�";4;1;6;3;4;2;3;2;2;2;3;1;33
"23 Cear�";6;10;3;12;9;9;3;6;8;6;4;8;84
"24 Rio Grande do Norte";3;5;6;2;3;4;2;3;4;-;2;2;36
"25 Para�ba";4;2;2;2;5;2;5;3;2;1;2;1;31
"26 Pernambuco";6;8;4;8;8;11;13;7;8;5;8;5;91
"27 Alagoas";5;5;5;4;9;4;6;1;7;2;4;2;54
"28 Sergipe";2;1;4;2;1;3;2;1;3;-;1;3;23
"29 Bahia";9;12;23;10;16;15;8;9;14;9;15;9;149
"31 Minas Gerais";14;9;12;13;16;9;12;10;7;11;11;7;131
"32 Esp�rito Santo";8;3;5;6;5;6;1;3;2;4;3;4;50
"33 Rio de Janeiro";19;14;11;9;15;14;19;13;14;17;10;11;166
"35 S�o Paulo";28;20;26;26;21;17;33;15;17;21;14;25;263
"41 Paran�";9;3;5;4;10;7;5;4;5;4;2;8;66
"42 Santa Catarina";4;1;1;1;4;2;3;-;-;3;3;2;24
"43 Rio Grande do Sul";4;3;7;5;4;5;10;6;3;4;6;2;59
"50 Mato Grosso do Sul";1;2;-;4;4;2;1;3;2;2;4;1;26
"51 Mato Grosso";3;2;3;3;2;3;3;2;5;4;4;2;36
"52 Goi�s";3;5;3;4;5;10;2;2;4;4;3;6;51
"53 Distrito Federal";3;4;1;1;1;4;-;2;1;1;1;1;20
"Total";160;137;163;149;178;153;166;112;144;131;116;130;1739
