"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";-;2;1;4;2;-;1;3;-;1;1;3;18
"12 Acre";1;-;1;-;3;-;-;-;1;2;2;-;10
"13 Amazonas";5;2;1;3;7;5;3;5;5;7;3;4;50
"14 Roraima";-;-;2;-;-;1;-;1;-;-;1;1;6
"15 Par�";11;10;7;12;22;10;7;9;11;7;8;6;120
"16 Amap�";2;1;-;1;3;1;2;1;1;1;-;1;14
"17 Tocantins";1;-;2;-;3;2;-;3;3;-;-;-;14
"21 Maranh�o";10;2;14;10;13;16;8;8;7;6;7;10;111
"22 Piau�";4;1;5;4;2;6;8;3;3;2;3;3;44
"23 Cear�";13;8;13;8;10;9;7;3;6;6;5;5;93
"24 Rio Grande do Norte";2;1;1;-;3;2;2;3;4;3;-;1;22
"25 Para�ba";6;3;2;2;9;5;2;-;3;2;4;2;40
"26 Pernambuco";6;6;4;7;10;13;11;7;7;5;6;9;91
"27 Alagoas";3;2;4;1;2;3;6;4;1;1;1;3;31
"28 Sergipe";4;2;1;1;2;1;4;2;1;2;-;3;23
"29 Bahia";16;11;20;22;12;15;9;14;10;14;7;12;162
"31 Minas Gerais";16;13;7;18;11;10;7;8;10;8;6;9;123
"32 Esp�rito Santo";2;3;3;1;4;1;3;-;1;3;2;3;26
"33 Rio de Janeiro";16;12;17;18;16;17;15;14;14;16;15;10;180
"35 S�o Paulo";22;20;27;23;21;15;19;19;15;15;27;17;240
"41 Paran�";5;11;9;3;7;3;3;2;4;3;4;11;65
"42 Santa Catarina";3;4;2;2;3;2;1;-;-;3;3;3;26
"43 Rio Grande do Sul";8;2;5;2;2;3;4;5;3;3;5;2;44
"50 Mato Grosso do Sul";-;-;2;2;1;1;3;1;5;2;-;5;22
"51 Mato Grosso";6;5;3;3;5;2;2;2;4;2;4;-;38
"52 Goi�s";4;4;4;4;7;8;1;4;4;3;5;1;49
"53 Distrito Federal";-;1;1;1;4;1;-;2;3;3;4;4;24
"Total";166;126;158;152;184;152;128;123;126;120;123;128;1686
