"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";1;2;1;1;1;1;4;3;2;1;1;-;18
"12 Acre";-;1;-;-;1;-;1;1;-;1;-;-;5
"13 Amazonas";6;1;4;8;18;8;6;1;5;6;7;7;77
"14 Roraima";3;1;1;1;2;4;3;3;-;-;1;1;20
"15 Par�";8;9;8;14;20;13;9;11;12;17;5;6;132
"16 Amap�";1;1;-;3;3;-;1;-;3;2;-;1;15
"17 Tocantins";1;-;1;2;3;3;-;3;-;1;2;2;18
"21 Maranh�o";5;6;6;12;17;13;11;5;10;8;2;5;100
"22 Piau�";5;1;4;3;2;3;4;6;1;6;2;3;40
"23 Cear�";9;5;12;12;24;16;7;6;4;9;8;7;119
"24 Rio Grande do Norte";3;4;2;2;2;4;4;4;-;4;4;1;34
"25 Para�ba";1;2;9;7;9;5;4;5;-;4;4;4;54
"26 Pernambuco";8;6;9;15;13;5;8;7;4;3;6;7;91
"27 Alagoas";1;1;3;2;6;7;4;5;3;-;5;3;40
"28 Sergipe";2;3;1;3;7;4;3;-;2;3;1;2;31
"29 Bahia";8;7;11;12;16;20;20;11;14;14;10;10;153
"31 Minas Gerais";10;8;11;10;13;7;11;11;12;10;8;15;126
"32 Esp�rito Santo";2;2;3;-;3;5;5;2;4;3;2;6;37
"33 Rio de Janeiro";13;11;17;16;28;15;20;15;11;6;17;21;190
"35 S�o Paulo";25;26;23;36;38;36;32;19;30;27;26;14;332
"41 Paran�";5;2;8;5;6;6;11;9;1;5;6;13;77
"42 Santa Catarina";2;-;1;4;3;4;3;2;3;-;4;5;31
"43 Rio Grande do Sul";9;1;-;2;4;5;6;4;3;4;11;5;54
"50 Mato Grosso do Sul";1;1;1;-;1;1;5;-;1;1;1;3;16
"51 Mato Grosso";2;4;4;2;3;8;7;9;4;4;2;1;50
"52 Goi�s";8;8;5;3;8;12;8;12;4;7;6;3;84
"53 Distrito Federal";-;2;4;1;1;3;4;-;2;3;1;-;21
"Total";139;115;149;176;252;208;201;154;135;149;142;145;1965
